n,
n,annuire,v.intr.
n,annullare,v.tr.
b,annunciare,v.tr.
n,annuncio,s.m.
i,annusare,v.tr.
n,anonimo,agg.;s.m.
b,ansia,s.f.
n,ansioso,agg.;s.m.
i,antartico,agg.;s.m.
n,antenna,s.f.
n,anteprima,s.f.
n,anteriore,agg.
i,anticalcare,agg.
i,antichità,s.f.inv.
n,anticipare,v.tr.
n,anticipo,s.m.
b,1antico,agg.;s.m.
i,antipasto,s.m.
i,antirughe,agg.inv.;s.m.inv.
n,antropologia,s.f.
i,anulare,agg.;s.m.
b,anzi,avv.;prep.
b,1anziano,agg.;s.m.
n,anziché,cong.
i,aostano,agg.;s.m.
n,ape,s.f.
i,aperitivo,s.m.;agg.
b,aperto,p.pass.;agg.;s.m.;avv.
b,apertura,s.f.
n,aspettativa,s.f.
i,apostolo,s.m.
n,appalto,s.m.
i,1appannare,v.tr.
n,apparato,s.m.
i,apparecchiare,v.tr.
i,apparecchiatura,s.f.
n,apparecchio,s.m.
n,apparente,p.pres.;agg.
n,apparentemente,avv.
n,apparenza,s.f.
b,apparire,v.intr.
n,apparizione,s.f.
b,appartamento,s.m.
n,appartenenza,s.f.
b,appartenere,v.intr.
n,appassionare,v.tr.
i,appassionarsi,v.pronom.intr.
n,appassionato,p.pass.;agg.;s.m.
n,appello,s.m.
b,appena,avv.;cong.
n,appendere,v.tr.
i,appendicite,s.f.
i,appenninico,agg.
i,appeso,p.pass.;agg.;s.m.
i,appiccicare,v.tr.;intr.
i,appiglio,s.m.
n,applauso,s.m.
b,applicare,v.tr.
n,applicazione,s.f.
b,appoggiare,v.tr.;intr.
n,appoggio,s.m.
n,apposito,agg.
n,apposta,avv.;agg.inv.
n,apprendere,v.tr.
n,apprendimento,s.m.
i,apprendista,s.m.;f.
b,apprezzare,v.tr.
n,approccio,s.m.
n,approfittare,v.intr.
n,approfondimento,s.m.
n,approfondire,v.tr.
n,approvare,v.tr.
n,approvazione,s.f.
b,1appuntamento,s.m.
i,appuntire,v.tr.
n,1appunto,s.m.
b,2appunto,avv.
b,aprile,s.m.
b,aprire,v.tr.;intr.
i,apriscatole,s.m.inv.
i,aquila,s.f.
i,aquilano,agg.;s.m.
i,1aquilone,s.m.
b,arabo,agg.;s.m.
i,arachide,s.f.
i,aragosta,s.f.;s.m.inv.
i,aranciata,s.f.
i,1arancio,s.m.
i,arare,v.tr.
i,aratro,s.m.
n,arbitro,s.m.
i,archeologo,s.m.
n,architettare,v.tr.
n,architetto,s.m.
n,architettonico,agg.
n,architettura,s.f.
n,archiviare,v.tr.
n,archivio,s.m.
b,arco,s.m.
i,arcobaleno,s.m.
b,area,s.f.
n,1argentino,agg.;s.m.
n,argento,s.m.
n,argomentare,v.tr.;intr.
n,argomentazione,s.f.
b,argomento,s.m.
b,aria,s.f.
i,aristocratico,agg.;s.m.
i,1aritmetica,s.f.
i,aritmetico,agg.;s.m.
b,1arma,s.f.
n,armadio,s.m.
i,armamento,s.m.
n,armare,v.tr.
n,armato,p.pass.;agg.;s.m.
n,armonia,s.f.
i,aroma,s.m.
b,arrabbiarsi,v.pronom.intr.
n,arrampicarsi,v.pronom.intr.
n,arredamento,s.m.
i,arredare,v.tr.
n,arrendersi,v.pronom.intr.
i,arrendersi,v.pronom.intr.
b,1arrestare,v.tr.
n,1arresto,s.m.
n,arricchire,v.tr.;intr.
b,arrivare,v.intr.;tr.
n,arrivederci,inter.;s.m.inv.
b,arrivo,s.m.
i,arrosto,s.m.;agg.inv.;avv.
i,arrugginire,v.tr.;intr.
b,arte,s.f.
n,arteria,s.f.
i,artico,agg.;s.m.
n,3articolare,v.tr.;s.m.
n,articolazione,s.f.
b,articolo,s.m.
n,artificiale,agg.
i,artigianale,agg.
n,artigiano,s.m.;agg.
i,artiglieria,s.f.
i,artiglio,s.m.
b,artista,s.m.;f.
b,artistico,agg.;s.m.
i,ascella,s.f.
n,ascensore,s.m.
n,ascesa,s.f.
i,ascesso,s.m.
i,ascia,s.f.
n,asciugamano,s.m.
n,asciugare,v.tr.;intr.
n,asciutto,agg.;s.m.
b,ascoltare,v.tr.
n,ascolto,s.m.
i,asfaltare,v.tr.
i,asfalto,s.m.
n,asiatico,agg.;s.m.
n,1asilo,s.m.
n,asino,s.m.
i,asma,s.f.;m.
i,asparago,s.m.
b,aspettare,v.tr.;intr.
b,1aspetto,s.m.
i,aspirapolvere,s.m.inv.
n,aspirare,v.tr.;intr.
n,aspirazione,s.f.
n,1aspro,agg.;s.m.
n,assaggiare,v.tr.
i,assaggio,s.m.
b,assai,avv.;agg.indef.inv.;s.m.inv.
i,assalire,v.tr.
i,assaltare,v.tr.
n,assalto,s.m.
i,assaporare,v.tr.
n,assassinare,v.tr.
i,assassinio,s.m.
n,assassino,s.m.;agg.
n,2asse,s.m.
i,assediare,v.tr.
n,assegnare,v.tr.
n,assegno,s.m.
n,assemblea,s.f.
n,assente,agg.;s.m.;f.
b,assenza,s.f.
b,assicurare,v.tr.
n,assicurazione,s.f.
b,assieme,avv.;s.m.
n,assistente,p.pres.;agg.;s.m.;f.
n,assistenza,s.f.
b,assistere,v.intr.;tr.
n,associare,v.tr.
b,associazione,s.f.
b,assolutamente,avv.
b,1assoluto,agg.;s.m.
i,assoluzione,s.f.
n,assolvere,v.tr.
n,assomigliare,v.intr.;tr.
i,assorbente,p.pres.;agg.;s.m.
n,assorbire,v.tr.
i,assordare,v.tr.;v.intr.
b,assumere,v.tr.
n,assunzione,s.f.
b,assurdo,agg.;s.m.
n,asta,s.f.
i,astemio,agg.;s.m.
n,astratto,p.pass.;agg.;s.m.
i,astronave,s.f.
i,astuccio,s.m.
i,astuto,agg.;s.m.
i,astuzia,s.f.
i,ateniese,agg.;s.m.;f.
n,ateo,agg.;s.m.
i,1atlantico,agg.
n,atleta,s.m.;f.
b,atmosfera,s.f.
i,atomica,s.f.
n,atomico,agg.
n,atomo,s.m.
i,atrio,s.m.
n,atroce,agg.
i,attaccante,p.pres.;agg.;s.m.;f.
i,attaccapanni,s.m.inv.
b,attaccare,v.tr.;intr.
b,attacco,s.m.
b,atteggiamento,s.m.
i,atteggiare,v.tr.
b,attendere,v.tr.;intr.
n,attenere,v.intr.;v.tr.
n,attentamente,avv.
i,attentare,v.intr.;v.tr.
n,attentato,s.m.
b,attento,agg.
b,attenzione,s.f.
i,atterraggio,s.m.
n,atterrare,v.tr.;intr.
b,attesa,s.f.
n,1attestare,v.tr.
b,attimo,s.m.
n,attingere,v.tr.;v.intr.
n,attirare,v.tr.
n,attivare,v.tr.
b,attività,s.f.
b,attivo,agg.;s.m.
b,1atto,s.m.
b,attore,s.m.
b,attorno,avv.
n,attrarre,v.tr.
b,attraversare,v.tr.
b,attraverso,prep.;avv.
n,attrazione,s.f.
n,attrezzare,v.tr.
n,attrezzatura,s.f.
n,attrezzo,s.m.
n,attribuire,v.tr.
n,attrice,s.f.
b,attuale,agg.
n,attualità,s.f.
n,attualmente,avv.
n,attuare,v.tr.
n,augurare,v.tr.;intr.
n,augurio,s.m.
n,aula,s.f.
b,aumentare,v.tr.;intr.
b,aumento,s.m.
i,australiano,agg.;s.m.
n,austriaco,agg.;s.m.
n,autentico,agg.;s.m.
n,1autista,s.m.;f.
b,1auto,s.f.inv.
i,autoambulanza,s.f.
i,autobotte,s.f.
n,autobus,s.m.inv.
i,1autografo,agg.;s.m.
n,automaticamente,avv.
n,automatico,agg.;s.m.
n,automobile,s.f.
i,automobilista,s.m.;f.
n,autonomia,s.f.
n,autonomo,agg.;s.m.
b,autore,s.m.
i,autorevole,agg.
b,autorità,s.f.inv.
b,autorizzare,v.tr.
i,autoscontro,s.m.
i,autoscuola,s.f.
i,autostop,s.m.inv.
n,autostrada,s.f.
i,autotreno,s.m.
n,autunno,s.m.
i,avambraccio,s.m.
n,avanguardia,s.f.
b,avanti,avv.;agg.inv.;loc. di comando;prep.;s.m.inv.;s.m.;f.inv.
b,1avanzare,v.intr.;tr.
n,1avanzato,p.pass.;agg.
i,avanzo,s.m.
i,avarizia,s.f.
i,1avaro,agg.;s.m.
i,avena,s.f.
b,1avere,v.tr.;v.intr.
i,aviazione,s.f.
i,avvantaggiare,v.tr.
n,avvelenare,v.tr.
i,avvelenato,p.pass.;agg.
n,avvenimento,s.m.
b,1avvenire,agg.inv.;s.m.inv.
b,avventura,s.f.
i,avverare,v.tr.
n,avversario,s.m.
b,avvertire,v.tr.;v.intr.
i,avviamento,s.m.
b,avviare,v.tr.
b,avvicinare,v.tr.
n,avvio,s.m.
n,1avvisare,v.tr.
n,1avviso,s.m.
i,1avvitare,v.tr.
b,avvocato,s.m.
n,avvolgere,v.tr.
b,azienda,s.f.
n,aziendale,agg.
b,1azione,s.f.
n,2azione,s.f.
n,azzardare,v.tr.
i,azzardo,s.m.
b,azzurro,s.m.;agg.
n,1babbo,s.m.
n,baby,s.m.;f.inv.;agg.inv.
i,babydoll,s.m.inv.
i,1bacca,s.f.
i,baccalà,s.m.inv.
n,bacheca,s.f.
b,1baciare,v.tr.
i,bacinella,s.f.
n,bacino,s.m.
b,1bacio,s.m.
i,1baco,s.m.
n,badare,v.intr.;v.tr.
n,baffo,s.m.
i,bagagliaio,s.m.
n,bagaglio,s.m.
n,bagnare,v.tr.
n,bagnato,p.pass.;agg.;s.m.
b,bagno,s.m.
i,bagnoschiuma,s.m.inv.
n,balcone,s.m.
n,balena,s.f.
n,1balia,s.f.
b,ballare,v.intr.;tr.
i,ballerina,s.f.
i,ballerino,s.m.;agg.
i,balletto,s.m.
n,ballo,s.m.
i,balsamo,s.m.
b,bambina,s.f.
i,bambinaia,s.f.
b,bambino,s.m.;agg.
n,bambola,s.f.
n,banale,agg.
i,banana,s.f.
b,1banca,s.f.
i,bancarella,s.f.
n,bancario,agg.;s.m.
n,banco,s.m.
n,bancone,s.m.
n,band,s.f.inv.
n,1banda,s.f.
n,bandiera,s.f.
n,1bando,s.m.
b,1bar,s.m.inv.
n,1bara,s.f.
i,baracca,s.f.
n,1barba,s.f.
i,barbabietola,s.f.
n,barbaro,agg.;s.m.
b,1barca,s.f.
i,barella,s.f.
i,barese,agg.;s.m.;f.
i,1barile,s.m.
i,barista,s.m.;f.
n,barriera,s.f.
b,basare,v.tr.
b,base,s.f.
i,1basetta,s.f.
n,basilica,s.f.
i,1basilico,s.m.
i,basket,s.m.inv.
b,basso,agg.;s.m.;avv.
