n,
i,disinfettare,v.tr.
i,disinteresse,s.m.
n,1disoccupazione,s.f.
i,disonesto,agg.;s.m.
i,disordinato,p.pass.;agg.
n,disordine,s.m.
i,dispari,agg.inv.
i,1dispensa,s.f.
n,disperare,v.tr.;intr.
n,disperato,p.pass.;agg.
n,disperazione,s.f.
n,disperdere,v.tr.
n,1dispetto,s.m.
i,dispettoso,agg.
b,1dispiacere,v.intr.
b,disponibile,agg.;s.m.
n,disponibilità,s.f.inv.
b,disporre,v.tr.;intr.
n,dispositivo,agg.;s.m.
b,1disposizione,s.f.
n,disprezzo,s.m.
i,dissenso,s.m.
n,distacco,s.m.
n,distante,p.pres.;agg.;avv.
b,distanza,s.f.
n,distendere,v.tr.
i,disteso,p.pass.;agg.;s.m.
b,distinguere,v.tr.
i,distintivo,agg.;s.m.
n,distinto,p.pass.;agg.;s.m.
n,distinzione,s.f.
n,distrarre,v.tr.
i,distratto,p.pass.;agg.
i,distrazione,s.f.
n,1distretto,s.m.
b,distribuire,v.tr.
n,distributore,agg.;s.m.
n,distribuzione,s.f.
b,distruggere,v.tr.
i,distrutto,p.pass.;agg.
n,distruzione,s.f.
n,disturbare,v.tr.
n,disturbo,s.m.
i,disubbidiente,p.pres.;agg.
i,disubbidienza,s.f.
i,disubbidire,v.intr.
b,dito,s.m.
n,ditta,s.f.
n,dittatura,s.f.
b,divano,s.m.
i,divano-letto,s.m.
b,divenire,v.intr.;s.m.
b,diventare,v.intr.
n,diversamente,avv.
n,diversità,s.f.inv.
b,diverso,agg.;agg.indef.;pron.indef.;s.m.
b,divertente,p.pres.;agg.
n,divertimento,s.m.
b,divertire,v.tr.
n,divertito,p.pass.;agg.
b,dividere,v.tr.
n,divieto,s.m.
n,divinità,s.f.inv.
n,divino,agg.;s.m.
n,1divisa,s.f.
n,divisione,s.f.
n,divorare,v.tr.
i,divorziare,v.intr.
n,divorzio,s.m.
n,dizionario,s.m.
i,1do,s.m.inv.
n,doccia,s.f.
i,docciaschiuma,s.m.inv.
n,docente,p.pres.;agg.;s.m.;f.
i,docile,agg.
n,documentare,v.tr.
n,documentario,agg.;s.m.
n,documentazione,s.f.
b,documento,s.m.
b,dodici,agg.num.card.inv.;s.m.inv.;s.f.pl.;s.m.pl.
i,dogana,s.f.
b,dolce,agg.;s.m.;avv.
n,dolcezza,s.f.
i,dolcificante,p.pres.;agg.;s.m.
i,dolciume,s.m.
i,dolere,v.intr.
i,dolersi,v.pronom.intr.
b,dollaro,s.m.
b,dolore,s.m.
n,doloroso,agg.
b,domanda,s.f.
b,domandare,v.tr.;intr.
b,domani,avv.;s.m.inv.
b,domenica,s.f.
i,domestica,s.f.
n,domestico,agg.;s.m.
n,dominante,p.pres.;agg.;s.m.;f.
n,dominare,v.tr.;intr.
n,dominio,s.m.
b,don,s.m.inv.
n,donare,v.tr.;intr.
i,dondolare,v.tr.;intr.
b,donna,s.f.
n,dono,s.m.
b,dopo,avv.;prep.;cong.;agg.inv.;s.m.inv.
i,dopobarba,s.m.inv.
b,doppio,agg.;s.m.;avv.
i,doppione,s.m.
n,dorato,p.pass.;agg.;s.m.
i,dormiglione,agg.;s.m.
b,dormire,v.intr.;v.tr.
n,dorso,s.m.
n,dose,s.f.
n,dotare,v.tr.
n,dotato,p.pass.;agg.
n,dote,s.f.
b,dottore,s.m.
n,dottoressa,s.f.
n,dottrina,s.f.
b,dove,avv.;cong.;s.m.inv.
b,1dovere,v.tr.
b,2dovere,s.m.
n,dovuto,p.pass.;agg.;s.m.
n,dozzina,s.f.
n,drago,s.m.
n,1dramma,s.m.
n,drammatico,agg.
n,1dritto,agg.;avv.;s.m.
i,drizzare,v.tr.;v.intr.
b,droga,s.f.
n,drogare,v.tr.
i,drogato,p.pass.;agg.;s.m.
b,1dubbio,s.m.
n,2dubbio,agg.
n,dubitare,v.intr.;tr.
i,dublinese,agg.;s.m.;f.
b,due,agg.num.card.inv.;s.m.inv.;s.f.pl.
n,duecento,agg.num.card.inv.;s.m.inv.
n,duello,s.m.
n,duemila,agg.num.card.inv.;s.m.inv.
b,dunque,cong.;s.m.inv.
i,1duomo,s.m.
b,durante,p.pres.;prep.;s.m.inv.
b,durare,v.intr.;v.tr.
b,durata,s.f.
b,1duro,agg.;s.m.;avv.
i,1e,s.f.;m.inv.
b,2e,cong.
n,ebbene,cong.
n,ebraico,agg.;s.m.
b,ebreo,agg.;s.m.
n,eccellente,p.pres.;agg.
n,eccellenza,s.f.
n,eccessivo,agg.
n,eccesso,s.m.
n,eccetera,avv.
n,eccezionale,agg.
n,eccezione,s.f.
n,eccitare,v.tr.
b,1ecco,avv.
n,1eco,s.f.inv.;s.m.
n,ecologico,agg.
b,economia,s.f.
b,economico,agg.;s.m.
n,economista,s.m.;f.
b,edicola,s.f.
b,edificio,s.m.
b,editore,s.m.;agg.
n,1editoriale,agg.;s.m.
b,edizione,s.f.
n,educare,v.tr.
n,educativo,agg.
i,educato,p.pass.;agg.
b,educazione,s.f.
i,effe,s.f.;m.inv.
b,effettivamente,avv.
n,effettivo,agg.;s.m.
b,effetto,s.m.
b,effettuare,v.tr.
n,efficace,agg.
n,efficacia,s.f.
n,efficiente,agg.
n,efficienza,s.f.
i,egiziano,agg.;s.m.
b,1egli,pron.pers. di terza pers.m.sing.
n,elaborare,v.tr.
n,elaborazione,s.f.
n,elastico,agg.;s.m.
b,elegante,agg.
n,eleganza,s.f.
n,eleggere,v.tr.
b,elementare,agg.
b,elemento,s.m.
i,elemosina,s.f.
n,elencare,v.tr.
b,elenco,s.m.
n,elettorale,agg.
n,elettore,s.m.
i,elettricista,s.m.;f.
i,elettricità,s.f.inv.
b,elettrico,agg.;s.m.
i,elettrodomestico,s.m.
n,elettromagnetico,agg.
n,elettrone,s.m.
b,elettronico,agg.
n,elevare,v.tr.
n,elevato,p.pass.;agg.
n,elezione,s.f.
i,elica,s.f.
i,elicottero,s.m.
b,eliminare,v.tr.
n,eliminazione,s.f.
i,elle,s.f.;m.inv.
i,elmo,s.m.
b,e-mail,s.f.inv.
n,emanare,v.intr.;tr.
n,emergenza,s.f.
b,emergere,v.intr.
n,emettere,v.tr.
i,emigrazione,s.f.
i,emiliano,agg.;s.m.
n,emissione,s.f.
i,emme,s.f.;m.inv.
i,emmenthal,s.m.inv.
n,emo,s.m.inv.
n,emotivo,agg.;s.m.
i,emozionante,p.pres.;agg.
n,emozionare,v.tr.
i,emozionato,p.pass.;agg.
b,emozione,s.f.
i,enciclopedia,s.f.
n,energetico,agg.;s.m.
b,energia,s.f.
i,enne,s.f.;m.inv.
n,ennesimo,agg.
b,enorme,agg.
b,ente,s.m.
n,entità,s.f.inv.
b,entrambi,pron.num.pl.;agg.num.pl.
b,entrare,v.intr.;v.tr.;s.m.
b,entrata,s.f.
b,entro,prep.;avv.
n,entusiasmo,s.m.
n,entusiasta,agg.;s.m.;f.
i,epifania,s.f.
b,episodio,s.m.
b,epoca,s.f.
b,eppure,cong.
n,equazione,s.f.
b,equilibrio,s.m.
i,equino,agg.;s.m.
i,equipaggio,s.m.
n,equivalere,v.intr.
n,equivoco,agg.;s.m.
b,era,s.f.
n,erba,s.f.
n,erede,s.m.;f.
n,eredità,s.f.inv.
n,ereditare,v.tr.
i,ergastolo,s.m.
n,ergere,v.tr.
i,ernia,s.f.
b,eroe,s.m.
i,1eroina,s.f.
n,erotico,agg.;s.m.
n,errare,v.intr.;v.tr.
i,1erre,s.f.;m.inv.
b,errore,s.m.
n,esagerare,v.tr.;intr.
n,esagerato,p.pass.;agg.;s.m.
i,esagerazione,s.f.
i,esagono,s.m.;agg.
n,esaltare,v.tr.
i,esaltazione,s.f.
b,esame,s.m.
n,esaminare,v.tr.
b,esattamente,avv.
b,1esatto,agg.;avv.
n,esaurire,v.tr.
i,esca,s.f.
i,eschimese,agg.;s.m.;f.
n,esclamare,v.tr.
i,esclamazione,s.f.
b,escludere,v.tr.
n,esclusione,s.f.
n,esclusivamente,avv.
n,esclusivo,agg.
n,escluso,p.pass.;agg.;s.m.
n,esecutivo,agg.;s.m.
n,esecuzione,s.f.
b,eseguire,v.tr.
b,esempio,s.m.
n,1esemplare,s.m.
n,2esemplare,agg.
n,esercitare,v.tr.
b,1esercito,s.m.
b,esercizio,s.m.
n,esibire,v.tr.
b,esigenza,s.f.
n,esigere,v.tr.
i,esilio,s.m.
n,esistente,p.pres.;agg.;s.m.
b,esistenza,s.f.
b,esistere,v.intr.
n,1esitare,v.intr.
n,esito,s.m.
n,esordio,s.m.
n,espansione,s.f.
n,espellere,v.tr.
b,esperienza,s.f.
n,esperimento,s.m.
b,esperto,p.pass.;agg.;s.m.
n,esplicito,agg.
n,esplodere,v.intr.;tr.
n,esplorare,v.tr.
n,esplosione,s.f.
n,esplosivo,agg.;s.m.
n,esponente,p.pres.;s.m.;f.
b,esporre,v.tr.
n,esposizione,s.f.
b,espressione,s.f.
i,espresso,p.pass.;agg.;s.m.
b,esprimere,v.tr.
b,essa,pron.pers. di terza pers.f.
i,1esse,s.f.;m.inv.
n,2esse,pron.pers. di terza pers.f.pl.
n,essenza,s.f.
n,essenziale,agg.;s.m.
n,essenzialmente,avv.
b,1essere,v.intr.
b,2essere,s.m.
b,essi,pron.pers. di terza pers.m.pl.
b,esso,pron.pers. di terza pers.m.sing.
n,1est,s.m.inv.;agg.inv.
b,estate,s.f.
n,estendere,v.tr.
n,estensione,s.f.
b,1esterno,agg.;s.m.
b,estero,agg.;s.m.
n,estetico,agg.
n,estivo,agg.
i,estone,agg.;s.m.;f.
n,estraneo,agg.;s.m.
n,estrarre,v.tr.
n,estratto,p.pass.;agg.;s.m.
n,estrazione,s.f.
n,estremamente,avv.
n,estremità,s.f.inv.
b,estremo,agg.;s.m.
b,età,s.f.inv.
n,eterno,agg.;s.m.
n,1etica,s.f.
n,2etichetta,s.f.
n,1etico,agg.
i,ettaro,s.m.
i,etto,s.m.
b,2euro,s.m.inv.
b,europeo,agg.;s.m.
i,evadere,v.intr.;tr.
i,evaporare,v.intr.;tr.
n,evasione,s.f.
b,evento,s.m.
b,eventuale,agg.
n,eventualmente,avv.
b,evidente,agg.
b,evidentemente,avv.
n,evidenza,s.f.
n,evidenziare,v.tr.
i,evidenziatore,agg.;s.m.
b,evitare,v.tr.
n,evocare,v.tr.
n,evoluzione,s.f.
b,ex,agg.inv.;s.m.;f.inv.;prep.
n,extra,agg.inv.;s.m.;f.inv.
b,2fa,avv.
b,fabbrica,s.f.
n,fabbricare,v.tr.;v.intr.
i,fabbro,s.m.
n,faccenda,s.f.
b,faccia,s.f.
n,facciata,s.f.
b,facile,agg.;avv.
n,facilità,s.f.inv.
n,facilitare,v.tr.
i,facilitazione,s.f.
b,facilmente,avv.
n,facoltà,s.f.inv.
i,fagiano,s.m.
i,falco,s.m.
i,falegname,s.m.
n,fallimento,s.m.
n,fallire,v.intr.;tr.
n,fallito,p.pass.;agg.;s.m.
b,falso,agg.;avv.;s.m.
n,fama,s.f.
b,fame,s.f.
b,famiglia,s.f.
b,familiare,agg.;s.m.;f.
b,famoso,agg.
n,1fan,s.m.;f.inv.
i,fanale,s.m.
n,fanciulla,s.f.
i,fanciullo,agg.;s.m.
n,fango,s.m.
i,fangoso,agg.
n,fantascienza,s.f.
b,fantasia,s.f.
n,fantasma,s.m.
b,fantastico,agg.;s.m.
i,fanteria,s.f.
i,fantino,s.m.
i,fantoccio,s.m.
b,fare,v.tr.;intr.;s.m.
n,farfalla,s.f.
n,farina,s.f.
n,farmacia,s.f.
n,farmaco,s.m.
i,faro,s.m.
b,fascia,s.f.
i,fasciatoio,s.m.
n,fascicolo,s.m.
n,fascino,s.m.
n,fascio,s.m.
n,fascismo,s.m.
n,fascista,agg.;s.m.;f.
b,fase,s.f.
b,fastidio,s.m.
n,fastidioso,agg.
n,fata,s.f.
b,fatica,s.f.
n,faticare,v.intr.;v.tr.
n,faticoso,agg.
b,1fatto,s.m.
b,fattore,s.m.
n,fattoria,s.f.
n,fattura,s.f.
n,fatturato,p.pass.;agg.;s.m.
i,fauna,s.f.
i,fava,s.f.
n,1favola,s.f.
n,favoloso,agg.
b,favore,s.m.
n,favorevole,agg.
n,favorire,v.tr.
n,fax,s.m.inv.
n,fazzoletto,s.m.
b,febbraio,s.m.
n,febbre,s.f.
i,fecondare,v.tr.
b,fede,s.f.
n,fedele,agg.;s.m.;f.
n,fedeltà,s.f.inv.
i,federa,s.f.
n,federale,agg.;s.m.
n,fegato,s.m.
b,felice,agg.
n,felicità,s.f.inv.
i,felino,s.m.;agg.
i,felpa,s.f.
b,femmina,s.f.
b,femminile,agg.;s.m.;s.f.
b,fenomeno,s.m.
n,feria,s.f.
i,1feriale,agg.
i,ferie,s.f.pl.
n,ferire,v.tr.
b,1ferita,s.f.
n,ferito,p.pass.;agg.;s.m.
i,fermaglio,s.m.
b,fermare,v.tr.;v.intr.
b,1fermo,agg.
n,feroce,agg.
i,ferragosto,s.m.
i,ferramenta,s.m.;f.inv.
b,ferro,s.m.
n,ferrovia,s.f.
n,ferroviario,agg.
i,ferroviere,s.m.
i,fertilizzante,p.pres.;agg.;s.m.
i,fessura,s.f.
b,festa,s.f.
b,festeggiare,v.tr.;intr.
n,festival,s.m.inv.
i,festivo,agg.
n,fetta,s.f.
n,fiaba,s.f.
i,fiala,s.f.
n,1fiamma,s.f.
i,fiammifero,s.m.;agg.
b,fianco,s.m.
i,fiatare,v.intr.;tr.
n,fiato,s.m.
i,fibbia,s.f.
n,fibra,s.f.
n,ficcare,v.tr.;intr.
n,fiction,s.f.inv.
i,fidanzamento,s.m.
n,fidanzarsi,v.tr.
n,fidanzata,s.f.
n,fidanzato,p.pass.;agg.;s.m.
b,fidarsi,v.pronom.intr.
b,fiducia,s.f.
i,fiducioso,agg.
i,fieno,s.m.
n,1fiera,s.f.
n,fiero,agg.
b,figlia,s.f.
i,figliastro,s.m.
b,figlio,s.m.
b,figura,s.f.
b,figurare,v.tr.;intr.
i,figurina,s.f.
b,fila,s.f.
i,filante,p.pres.;agg.;s.m.
n,3filare,v.tr.;intr.
i,filastrocca,s.f.
b,1file,s.m.inv.
i,filetto,s.m.
b,film,s.m.inv.
n,filmato,p.pass.;agg.;s.m.
b,1filo,s.m.
b,filosofia,s.f.
n,filosofico,agg.
n,filosofo,s.m.
n,filtrare,v.tr.;intr.
n,1filtro,s.m.
b,finale,agg.;s.m.;s.f.
n,finalità,s.f.inv.
b,finalmente,avv.
n,1finanza,s.f.
n,finanziamento,s.m.
n,finanziare,v.tr.
b,finanziario,agg.
i,finanziatore,agg.;s.m.
b,finché,cong.
b,1fine,s.f.;m.
n,2fine,agg.
b,finestra,s.f.
n,finestrino,s.m.
b,fingere,v.tr.
i,finimondo,s.m.
b,finire,v.tr.;intr.;s.m.
n,finito,p.pass.;agg.
i,finlandese,agg.;s.m.;f.
b,2fino,prep.;avv.
i,1finocchio,s.m.
n,finora,avv.
n,finta,s.f.
b,finto,p.pass.;agg.
i,1fiocco,s.m.
i,fionda,s.f.
i,fioraio,s.m.
b,1fiore,s.m.
n,fiorentino,agg.;s.m.
i,fiorito,p.pass.;agg.
b,firma,s.f.
b,firmare,v.tr.
n,fiscale,agg.;s.m.
n,fisicamente,avv.
b,fisico,agg.;s.m.
b,fissare,v.tr.
b,fisso,agg.;avv.;s.m.
n,1fitto,p.pass.;agg.;avv.;s.m.
b,fiume,s.m.
i,fiuto,s.m.
n,flash,s.m.inv.
i,1flauto,s.m.
n,flessibile,agg.;s.m.;f.
i,flora,s.f.
n,fluido,agg.;s.m.
i,fluoro,s.m.
n,1flusso,s.m.
i,foca,s.f.
i,focaccia,s.f.
i,fodera,s.f.
i,foderare,v.tr.
n,foglia,s.f.
b,foglio,s.m.
i,fogna,s.f.
n,folla,s.f.
n,1folle,agg.;s.m.;f.
n,follia,s.f.
b,fondamentale,agg.;s.f.;s.m.
n,fondamentalmente,avv.
n,fondamento,s.m.
b,fondare,v.tr.
n,fondatore,s.m.
n,fondazione,s.f.
n,fondere,v.tr.;intr.
b,fondo,agg.;s.m.;avv.;loc. di comando
n,fontana,s.f.
i,fontanella,s.f.
b,1fonte,s.f.;s.m.
n,forare,v.tr.
i,forbice,s.f.
i,forchetta,s.f.
i,forcina,s.f.
n,foresta,s.f.
i,forestale,agg.;s.m.;f.
i,forfora,s.f.
b,forma,s.f.
i,formaggino,s.m.
n,formaggio,s.m.
n,1formale,agg.
b,formare,v.tr.
n,formato,p.pass.;agg.;s.m.
b,formazione,s.f.
b,formula,s.f.
n,1formulare,v.tr.
i,fornace,s.f.
i,fornaio,s.m.
n,fornello,s.m.
b,fornire,v.tr.
n,fornitore,agg.;s.m.
n,forno,s.m.
n,1foro,s.m.
b,forse,avv.;s.m.inv.
b,forte,agg.;avv.;s.m.
n,fortemente,avv.
b,fortuna,s.f.
n,fortunatamente,avv.
n,fortunato,agg.
n,forum,s.m.inv.
b,forza,s.f.
n,forzare,v.tr.;intr.
i,fosforescente,agg.
n,1fossa,s.f.
i,fossetta,s.f.
i,fosso,s.m.
b,foto,s.f.inv.
n,fotografare,v.tr.
b,fotografia,s.f.
n,fotografico,agg.
n,fotografo,s.m.
n,fottere,v.tr.;intr.
i,foulard,s.m.inv.
b,2fra,prep.
i,fracasso,s.m.
n,fragile,agg.
n,frammento,s.m.
n,francamente,avv.
b,francese,agg.;s.m.;f.
i,francobollo,s.m.
i,frangia,s.f.
b,frase,s.f.
b,fratello,s.m.
n,frazione,s.f.
n,freccia,s.f.
i,freddezza,s.f.
b,freddo,agg.;s.m.
b,fregare,v.tr.
n,frenare,v.tr.;intr.
n,frenetico,agg.
n,freno,s.m.
b,frequentare,v.tr.;v.intr.
n,frequente,agg.
n,frequenza,s.f.
b,fresco,agg.;s.m.
b,fretta,s.f.
n,frigo,s.m.inv.
n,frigorifero,agg.;s.m.
i,fringuello,s.m.
i,frittata,s.f.
i,fritto,p.pass.;agg.;s.m.
i,friulano,agg.;s.m.
b,fronte,s.f.;s.m.
n,frontiera,s.f.
n,frugare,v.intr.;tr.
i,frumento,s.m.
i,fruscio,s.m.
i,frusta,s.f.
n,frutta,s.f.
i,fruttivendolo,s.m.
b,frutto,s.m.
n,fucile,s.m.
b,fuga,s.f.
b,fuggire,v.intr.;tr.
n,fulmine,s.m.
b,fumare,v.intr.;tr.;s.m
n,fumetto,s.m.
b,fumo,s.m.;agg.inv.
i,fune,s.f.
n,funerale,s.m.;agg.
n,fungo,s.m.
n,funzionale,agg.;s.m.
n,funzionamento,s.m.
b,funzionare,v.intr.
n,funzionario,s.m.
b,funzione,s.f.
b,fuoco,s.m.;loc. di comando
b,fuori,avv.;prep.;s.m.inv.;agg.inv.
n,furbo,agg.;s.m.
i,furfante,s.m.;f.
n,furgone,s.m.
n,furia,s.f.
n,furioso,agg.
n,furto,s.m.
n,fusione,s.f.
n,2fuso,p.pass.;agg.;s.m.
b,futuro,agg.;s.m.
n,gabbia,s.f.
n,galassia,s.f.
i,1galeotto,s.m.
n,1galera,s.f.
i,galleggiare,v.intr.
n,1galleria,s.f.
i,gallese,agg.;s.m.
i,1galletta,s.f.
n,gallina,s.f.
i,1gallo,s.m.;s.m.inv.
b,gamba,s.f.
i,gambero,s.m.
i,gambo,s.m.
i,ganascia,s.f.
i,gancio,s.m.
b,gara,s.f.
n,garage,s.m.inv.
b,garantire,v.tr.;intr.
n,garanzia,s.f.
i,1garbo,s.m.
i,gargarismo,s.m.
i,garofano,s.m.
i,1garza,s.f.
b,gas,s.m.inv.
i,gasolio,s.m.
i,gassosa,s.f.
i,gastronomia,s.f.
b,gatto,s.m.
i,1gavetta,s.f.
n,gay,agg.inv.;s.m.;f.inv.
i,gazza,s.f.
i,gelateria,s.f.
i,gelatina,s.f.
n,gelato,p.pass.;agg.;s.m.
n,gelido,agg.
i,1gelo,s.m.
n,1gelosia,s.f.
n,geloso,agg.
i,gelsomino,s.m.
n,gemello,agg.;s.m.
i,gemma,s.f.
n,gene,s.m.
b,generale,agg.;s.m.;f.
n,generalmente,avv.
b,generare,v.tr.
b,generazione,s.f.
b,genere,s.m.
n,generico,agg.;s.m.
i,generosità,s.f.inv.
n,generoso,agg.
n,genetico,agg.
i,gengiva,s.f.
n,geniale,agg.
n,1genio,s.m.
b,genitore,s.m.
b,gennaio,s.m.
i,genovese,agg.;s.m.;f.
b,1gente,s.f.
b,1gentile,agg.;s.m.
i,genuino,agg.
n,geografico,agg.
i,geografo,s.m.
i,geometra,s.m.;f.
i,geometria,s.f.
i,geometrico,agg.
n,gesso,s.m.
b,gestione,s.f.
b,1gestire,v.tr.
b,gesto,s.m.
n,gestore,s.m.
b,gettare,v.tr.
i,gettone,s.m.
n,1ghiaccio,s.m.
i,1ghiacciolo,s.m.
i,ghianda,s.f.
i,ghiro,s.m.
i,gi,s.f.;m.inv.
b,già,avv.
b,1giacca,s.f.
n,giacere,v.intr.
i,giaguaro,s.m.
b,giallo,agg.;s.m.
b,giapponese,agg.;s.m.;f.
i,giardinaggio,s.m.
i,giardiniera,s.f.
b,giardino,s.m.
n,gigante,s.m.;s.f.;agg.
n,gigantesco,agg.
n,giglio,s.m.
n,ginnastica,s.f.
b,ginocchio,s.m.
b,giocare,v.intr.;tr.
b,giocatore,s.m.
n,giocattolo,s.m.
b,gioco,s.m.
b,1gioia,s.f.
n,gioiello,s.m.
i,gioioso,agg.
i,giordano,agg.;s.m.
b,giornale,s.m.;agg.
i,giornalino,s.m.
b,giornalista,s.m.;f.
b,giornata,s.f.
b,giorno,s.m.
i,giostra,s.f.
b,giovane,agg.;s.m.;f.
n,giovanile,agg.
n,giovedì,s.m.inv.
n,gioventù,s.f.inv.
n,giovinezza,s.f.
i,giraffa,s.f.
b,1girare,v.tr.;intr.
i,giravite,s.m.inv.
i,giretto,s.m.
b,giro,s.m.
i,gironzolare,v.intr.
i,girotondo,s.m.
n,gita,s.f.
b,giù,avv.;agg.inv.
i,1giubba,s.f.
i,giubbotto,s.m.
b,giudicare,v.tr.;intr.
b,giudice,s.m.;f.
n,giudiziario,agg.
b,giudizio,s.m.
b,giugno,s.m.
b,giungere,v.intr.;tr.
i,giungla,s.f.
n,giuramento,s.m.
b,giurare,v.tr.
i,giuria,s.f.
n,giuridico,agg.
n,giustamente,avv.
n,giustificare,v.tr.
b,giustizia,s.f.
b,1giusto,agg.;s.m.;avv.
b,2gli,pron.pers. di terza pers.m.sing.
i,glicine,s.m.;globallagg.inv.;s.m.;f.inv.
n,globale,agg.
n,1gloria,s.f.
i,gnocco,s.m.
i,gnomo,s.m.
n,goal,s.m.inv.
i,1gobbo,agg.;s.m.
n,goccia,s.f.
b,godere,v.intr.;tr.
n,1gola,s.f.
i,goloso,agg.
n,gomito,s.m.
i,gomitolo,s.m.
n,gomma,s.f.
n,gonfiare,v.tr.;intr.
n,gonfio,agg.;s.m.
n,gonna,s.f.
i,gorgonzola,s.m.inv.
i,gorilla,s.m.inv.
n,gossip,s.m.inv.
n,governare,v.tr.;v.intr.
n,governatore,s.m.
b,governo,s.m.
n,gradino,s.m.
n,gradire,v.tr.;v.intr.
b,1grado,s.m.
i,graffiare,v.tr.
i,1graffio,s.m.
n,grafico,agg.;s.m.
n,grammatica,s.f.
n,grammo,s.m.
i,1grana,s.f.
i,granaio,s.m.
i,granchio,s.m.
b,grande,agg.;s.m.
n,grandezza,s.f.
i,grandine,s.f.
n,grandioso,agg.
n,grano,s.m.
i,granturco,s.m.
i,1grappa,s.f.
b,grasso,agg.;s.m.;gratissavv.;agg.inv.
n,grattare,v.tr.;intr.
i,grattugiato,p.pass.;agg.
n,gratuito,agg.
b,grave,agg.;s.m.;avv.
n,gravidanza,s.f.
n,gravità,s.f.inv.
b,grazie,inter.;s.m.inv.
i,grazioso,agg.
b,greco,agg.;s.m.
i,grembiule,s.m.
b,gridare,v.intr.;tr.
n,grido,s.m.
b,grigio,agg.;s.m.
i,griglia,s.f.
i,grinza,s.f.
i,grissino,s.m.
i,grossista,s.m.;f.
b,grosso,agg.;s.m.
n,grotta,s.f.
i,gru,s.f.inv.
b,gruppo,s.m.
b,guadagnare,v.tr.;v.intr.
n,guadagno,s.m.
n,guaio,s.m.
i,guaire,v.intr.
n,guancia,s.f.
i,guanciale,s.m.;agg.
n,guanto,s.m.
b,guardare,v.tr.;intr.
i,guardaroba,s.m.inv.;s.m.;f.inv.
b,1guardia,s.f.
n,guarire,v.tr.;intr.
i,guarnizione,s.f.
i,1guasto,s.m.
b,guerra,s.f.
n,guerriero,s.m.;agg.
i,gufo,s.m.
b,guida,s.f.
b,guidare,v.tr.
i,guidatore,s.m.
i,guinzaglio,s.m.
n,gustare,v.tr.;v.intr.
b,gusto,s.m.
i,gustoso,agg.
i,hamburger,s.m.inv.
n,hobby,s.m.inv.
n,home,s.f.inv.
n,hotel,s.m.inv.
n,hyperlink,s.m.inv.
i,1i,s.f.;m.inv.
n,2i,art.det.m.pl.
n,icona,s.f.
i,ics,s.f.;m.inv.
b,idea,s.f.
b,ideale,agg.;s.m.
n,ideare,v.tr.
n,identico,agg.;s.m.
b,identificare,v.tr.
n,identificazione,s.f.
b,identità,s.f.inv.
n,ideologia,s.f.
n,ideologico,agg.
b,idiota,agg.;s.m.;f.
n,idraulico,agg.;s.m.
n,idrico,agg.
n,idrogeno,s.m.
b,ieri,avv.;s.m.inv.
i,igiene,s.f.
n,ignorante,p.pres.;agg.;s.m.;f.
n,ignoranza,s.f.
b,ignorare,v.tr.
n,ignoto,agg.;s.m.
b,il,art.det.m.sing.;pron.pers. di terza pers.m.sing.;pron.dimostr.
n,illecito,agg.;s.m.
n,illegale,agg.;s.m.;f.
i,illegittimo,agg.;s.m.
n,illudere,v.tr.;intr.
n,illuminare,v.tr.
n,illuminato,p.pass.;agg.;s.m.
n,illusione,s.f.
n,illustrare,v.tr.
n,illustre,agg.
i,1imballare,v.tr.
n,imbarazzante,p.pres.;agg.
n,imbarazzato,p.pass.;agg.
n,imbarazzo,s.m.
n,imbattersi,v.pronom.intr.
n,imbecille,agg.;s.m.;f.
i,imbiancare,v.tr.;intr.
i,imbianchino,s.m.
i,imbottigliare,v.tr.
i,imbrogliare,v.tr.
i,imbroglio,s.m.
i,imbuto,s.m.
n,imitare,v.tr.
b,immaginare,v.tr.;s.m.
n,immaginario,agg.;s.m.
n,immaginazione,s.f.
b,immagine,s.f.
i,immaturo,agg.
b,immediatamente,avv.
n,immediato,agg.;s.m.
n,immenso,agg.;s.m.
n,immergere,v.tr.;intr.
n,immigrato,p.pass.;agg.;s.m.
b,immobile,agg.;s.m.
n,immobiliare,agg.;s.f.
i,immondizia,s.f.
i,impallidire,v.intr.
b,imparare,v.tr.
i,impastare,v.tr.
n,1impatto,s.m.
i,impaziente,agg.;s.f.
n,impazzire,v.intr.
b,impedire,v.tr.
b,impegnare,v.tr.
n,impegnativo,agg.
i,impegnato,p.pass.;agg.
b,impegno,s.m.
n,imperare,v.tr.
n,imperatore,s.m.
n,1imperiale,agg.;s.m.;f.
i,impermeabile,agg.;s.m.
n,impero,s.m.;agg.inv.
b,impianto,s.m.
b,impiegare,v.tr.
n,impiegato,p.pass.;agg.;s.m.
n,impiego,s.m.
n,implicare,v.tr.
b,imporre,v.tr.;v.intr.
b,importante,p.pres.;agg.;s.m.
b,importanza,s.f.
b,1importare,v.intr.;v.tr.
n,importo,s.m.
b,impossibile,agg.;s.m.
n,1impostare,v.tr.
n,1impostazione,s.f.
i,impreciso,agg.
n,imprenditore,s.m.
b,impresa,s.f.
n,impressionante,p.pres.;agg.
n,impressionare,v.tr.
b,impressione,s.f.
n,imprevisto,agg.;s.m.
i,imprigionare,v.tr.
n,improbabile,agg.
n,1impronta,s.f.
n,improvvisamente,avv.
n,improvvisare,v.tr.
b,1improvviso,agg.;s.m.
